super output areas - middle layer,mnemonic,all_ecact,m16,m18,m20,m25,m35,m55,m60,m65,f16,f18,f20,f25,f35,f55,f60,f65,f_total
Barnsley 030,E02001538,3164,45,59,163,446,844,172,64,25,36,74,121,367,734,151,55,29,1422
Doncaster 001,E02001539,2280,30,44,147,282,634,103,42,33,50,86,107,247,524,82,40,18,1036
Doncaster 002,E02001540,4620,74,108,190,555,1303,232,83,46,55,103,206,510,1112,198,58,30,2110
Doncaster 003,E02001541,4210,63,91,200,555,1175,202,73,53,57,107,188,447,986,137,69,34,1875
Doncaster 004,E02001542,2450,53,40,108,337,694,102,66,35,45,71,99,261,534,126,26,5,1072
Doncaster 005,E02001543,3240,61,83,181,386,883,123,51,35,46,89,139,363,769,133,47,20,1491
Doncaster 006,E02001544,3538,61,89,182,513,919,134,73,31,69,62,165,445,794,133,41,13,1602
Doncaster 007,E02001545,4268,44,60,160,548,1184,171,93,27,55,75,196,492,1089,125,71,22,2041
Doncaster 008,E02001546,3519,57,135,352,476,927,153,89,31,40,44,104,305,785,143,79,31,1392
Doncaster 009,E02001547,3884,51,94,197,505,1089,149,63,14,69,83,185,456,911,118,69,33,1809
Doncaster 010,E02001548,2593,36,66,127,385,678,109,56,17,35,58,137,321,602,104,73,18,1216
Doncaster 011,E02001549,2812,40,55,114,359,777,96,65,32,45,70,124,326,689,108,61,13,1342
Doncaster 012,E02001550,2957,60,56,139,351,833,109,71,32,49,76,156,348,695,85,59,26,1384
Doncaster 013,E02001551,2796,52,46,143,404,759,92,58,12,44,77,166,322,659,103,37,23,1313
Doncaster 014,E02001552,2138,65,32,118,302,551,98,61,12,51,47,114,240,510,105,40,26,995
Doncaster 015,E02001553,3711,59,77,158,498,1033,144,75,35,67,78,152,418,890,146,61,36,1706
Doncaster 016,E02001554,3137,44,57,124,428,843,136,81,19,42,56,126,400,789,139,65,23,1494
Doncaster 017,E02001555,2888,44,40,134,339,818,123,46,17,33,55,129,335,775,115,60,22,1398
Doncaster 018,E02001556,3233,49,73,115,431,880,122,62,43,40,80,125,387,817,127,66,18,1524
Doncaster 019,E02001557,3938,54,93,211,523,1094,150,95,61,44,64,211,429,876,130,63,33,1738
Doncaster 020,E02001558,3098,43,70,130,305,854,180,94,21,50,66,94,269,818,151,72,26,1450
Doncaster 021,E02001559,3673,46,67,155,388,1048,183,96,37,78,58,156,402,950,150,83,31,1755
Doncaster 022,E02001560,3322,30,60,237,507,851,112,95,28,33,87,180,399,704,80,73,25,1479
Doncaster 023,E02001561,2264,44,38,129,313,619,79,49,19,36,66,150,263,556,100,28,27,1059
Doncaster 024,E02001562,2165,32,64,95,251,596,128,45,21,32,47,102,214,552,92,62,37,1024
Doncaster 025,E02001563,3078,31,39,117,295,924,191,114,48,51,71,123,248,801,146,71,32,1409
Doncaster 026,E02001564,3703,33,62,134,345,1158,195,103,59,30,72,124,321,1056,155,68,16,1707
Doncaster 027,E02001565,2965,32,62,132,286,932,185,74,36,40,69,106,271,808,163,48,27,1334
Doncaster 028,E02001566,2272,24,38,122,359,587,76,33,26,27,68,131,323,536,72,55,11,1089
Doncaster 029,E02001567,3457,78,64,200,365,997,141,54,15,69,65,154,339,888,151,66,28,1617
Doncaster 030,E02001568,2212,40,49,112,279,611,110,53,26,37,53,122,225,517,94,59,19,999
Doncaster 031,E02001569,3414,38,85,178,507,930,146,67,25,44,85,159,436,737,127,49,36,1529
Doncaster 032,E02001570,1994,33,47,95,251,518,105,56,29,34,52,89,227,452,96,57,38,940
Doncaster 033,E02001571,2738,28,58,115,307,783,151,90,37,33,57,108,287,694,124,69,22,1259
Doncaster 034,E02001572,2975,45,74,175,424,750,106,53,20,45,65,170,404,680,90,59,16,1419
Doncaster 035,E02001573,2954,48,73,140,449,822,88,52,13,57,65,137,361,685,95,57,18,1351
Doncaster 036,E02001574,2963,28,55,166,393,848,110,31,24,47,62,180,367,741,103,54,22,1406
