Zone Code,Zone Name,ks0150002,"Underground, metro, light rail, tram ",Train ,"Bus, minibus or coach ","Motorcycle, scooter or moped ",Driving a car or van ,Passenger in a car or van ,Taxi or minicab ,Bicycle ,On foot ,Other,ks0150013
E02002189,Bradford 007,226,13,134,166,22,1416,236,51,11,282,30,31.03
E02002190,Bradford 008,309,10,207,477,41,1937,351,64,28,589,37,24.84
E02002191,Bradford 009,232,17,153,412,34,1540,336,56,22,653,18,15.09
E02002192,Bradford 010,406,16,235,180,29,2626,231,30,29,259,30,28.48
E02002193,Bradford 011,200,12,116,301,39,1079,246,38,30,400,22,22.66
E02002194,Bradford 012,208,4,114,443,36,1782,307,45,29,412,28,21.42
E02002195,Bradford 013,327,11,180,136,48,2025,176,23,46,218,27,23.63
E02002196,Bradford 014,279,19,139,280,44,1964,281,42,22,160,26,31.05
E02002197,Bradford 015,273,7,293,289,48,1980,244,48,59,491,27,27.24
E02002198,Bradford 016,311,19,240,238,58,2331,256,28,41,405,20,18.21
E02002199,Bradford 017,299,22,80,256,44,2108,252,43,25,191,21,31.53
E02002200,Bradford 018,380,25,354,343,50,2568,285,39,49,440,32,30.16
E02002201,Bradford 019,373,8,95,542,40,3134,449,46,47,397,24,25.93
E02002202,Bradford 020,221,14,255,359,47,1318,175,41,47,445,29,23.18
E02002203,Bradford 021,232,13,103,415,31,1627,319,34,29,403,30,10.53
E02002204,Bradford 022,553,18,132,418,63,3680,376,20,49,314,26,12.38
E02002205,Bradford 023,604,22,133,407,59,3063,301,41,47,340,24,26.12
E02002206,Bradford 024,279,1,77,495,58,2056,403,57,39,322,23,25.27
E02002207,Bradford 025,191,22,158,360,39,1205,198,34,49,283,18,19.57
E02002208,Bradford 026,243,9,34,456,44,1708,345,29,25,407,24,13.43
E02002209,Bradford 027,142,15,33,364,31,1046,225,41,25,276,9,11.56
E02002210,Bradford 028,266,19,52,429,53,2055,366,41,43,288,15,12.7
E02002211,Bradford 029,205,20,64,187,23,1372,221,35,22,185,25,19.28
E02002212,Bradford 030,180,13,36,323,34,1401,183,46,20,240,8,23.91
E02002213,Bradford 031,322,13,59,274,43,1940,195,25,24,221,9,15.23
E02002214,Bradford 032,193,7,40,386,38,1647,301,33,37,263,23,11.6
E02002215,Bradford 033,192,18,36,341,16,1192,235,57,32,340,24,20.43
E02002216,Bradford 034,160,17,64,327,29,865,190,43,34,314,18,16.51
E02002217,Bradford 035,232,13,59,459,39,1321,302,65,48,336,25,23.9
E02002218,Bradford 036,295,8,64,510,61,2227,328,40,31,251,15,12.04
E02002219,Bradford 037,160,9,32,221,38,782,180,48,30,347,18,14.72
E02002220,Bradford 038,213,4,41,443,42,1054,228,54,27,382,34,13.45
E02002221,Bradford 039,215,7,64,399,37,800,230,41,29,492,24,11.54
E02002222,Bradford 040,184,6,57,499,44,1526,290,67,37,288,25,26.47
E02002223,Bradford 041,167,20,44,292,15,741,185,43,14,363,27,26.1
E02002224,Bradford 042,191,23,32,328,23,837,195,41,14,329,19,9.84
E02002225,Bradford 043,313,23,43,467,49,2233,296,38,30,183,16,19.11
E02002226,Bradford 044,224,16,88,404,22,1151,244,77,29,754,35,18.78
E02002227,Bradford 045,144,15,35,358,38,741,197,42,34,376,26,13.29
E02002228,Bradford 046,139,9,17,353,47,899,222,41,32,372,19,10.39
E02002229,Bradford 047,255,10,51,409,44,2013,375,65,30,270,23,28.32
E02002230,Bradford 048,129,12,52,359,36,695,179,36,38,418,32,17.83
E02002231,Bradford 049,339,20,57,589,46,2220,410,65,32,423,19,23.24
E02002232,Bradford 050,173,10,57,401,40,1274,257,21,40,292,14,9.77
E02002233,Bradford 051,137,18,35,463,30,908,206,71,35,357,25,23.77
E02002234,Bradford 052,121,4,21,380,28,789,215,73,43,435,24,10.5
E02002235,Bradford 053,144,16,24,372,43,963,230,46,37,319,21,12.27
E02002236,Bradford 054,190,20,35,422,36,1641,297,41,28,263,17,17.47
E02002237,Bradford 055,211,14,49,554,39,1897,369,46,41,274,15,15.45
E02002238,Bradford 056,142,16,36,523,27,1357,274,49,17,261,14,23.02
E02002239,Bradford 057,284,5,42,430,61,2042,311,59,37,423,18,10.23
E02002240,Bradford 058,458,5,55,608,89,3444,431,19,35,303,13,12.78
E02002241,Bradford 059,325,11,40,788,61,2643,560,76,59,499,32,20.92
E02002242,Bradford 060,299,14,22,457,62,2279,344,33,43,380,15,19.25
E02002243,Bradford 061,317,3,46,589,60,2430,422,54,51,405,36,18.18
E02002244,Calderdale 001,258,7,35,383,36,1823,283,37,16,228,20,23.79
E02002245,Calderdale 002,128,19,26,501,46,934,223,34,34,153,27,14.68
E02002246,Calderdale 003,444,15,34,477,52,3150,319,13,30,229,27,14.56
E02002247,Calderdale 004,611,17,381,398,46,2465,206,10,56,432,28,19.62
E02002248,Calderdale 005,237,22,38,587,60,1544,279,37,41,295,15,22.17
E02002249,Calderdale 006,148,8,51,521,40,1129,251,37,28,301,12,28.04
E02002250,Calderdale 007,412,6,144,308,40,2329,219,30,45,306,19,28.5
E02002251,Calderdale 008,249,20,59,470,27,1477,245,38,25,568,26,15.06
E02002252,Calderdale 009,210,3,47,344,31,1785,223,29,25,177,13,18.37
E02002253,Calderdale 010,167,15,51,413,25,1475,274,31,23,354,21,16.11
E02002254,Calderdale 011,305,19,20,263,54,2003,208,25,33,190,12,26.5
E02002255,Calderdale 012,171,13,54,206,29,641,173,39,14,430,21,15.16
E02002256,Calderdale 013,380,3,179,339,54,1958,297,15,54,579,34,22.96
E02002257,Calderdale 014,171,11,60,269,43,918,181,62,22,363,11,28.71
E02002258,Calderdale 015,341,18,32,369,53,2340,259,30,36,440,26,19.86
E02002259,Calderdale 016,265,18,97,292,52,1529,263,50,28,521,11,18.58
E02002260,Calderdale 017,347,7,94,536,56,2120,376,32,49,472,29,18.66
E02002261,Calderdale 018,279,9,87,412,59,2053,334,38,40,442,27,20.25
E02002262,Calderdale 019,264,16,41,368,52,2119,293,35,48,515,18,26.16
E02002263,Calderdale 020,303,22,44,365,56,1718,237,23,46,202,21,21.12
E02002264,Calderdale 021,247,4,85,279,31,1858,230,53,22,443,21,30.27
E02002265,Calderdale 022,241,14,117,220,64,1407,213,18,57,334,31,19.9
E02002266,Calderdale 023,261,9,59,245,51,1944,227,14,37,329,18,14.33
E02002267,Calderdale 024,291,10,30,362,71,2175,288,43,35,351,16,27
E02002268,Calderdale 025,362,3,50,511,74,2215,272,48,60,624,32,21.94
E02002269,Calderdale 026,431,6,74,456,63,3107,372,29,46,246,20,27.77
E02002270,Calderdale 027,445,14,56,237,45,2722,222,18,32,203,35,20.99
E02002271,Kirklees 001,291,14,32,303,68,2235,280,17,46,168,23,11.12
E02002272,Kirklees 002,339,12,33,515,75,2706,416,49,47,453,13,22.59
E02002273,Kirklees 003,280,6,9,250,55,1996,226,27,39,220,20,14.17
E02002274,Kirklees 004,236,14,25,302,53,2014,269,39,31,229,19,30.34
E02002275,Kirklees 005,306,1,22,381,60,2160,281,26,68,513,17,14.12
E02002276,Kirklees 006,274,9,29,318,74,2071,372,51,59,349,31,18.14
E02002277,Kirklees 007,212,16,63,225,49,1680,219,47,26,335,12,27.43
E02002278,Kirklees 008,222,3,25,241,32,1769,247,32,40,286,18,20.78
E02002279,Kirklees 009,215,14,26,254,60,1528,244,22,50,367,10,16.17
E02002280,Kirklees 010,111,17,36,218,28,734,214,50,21,374,20,22.01
E02002281,Kirklees 011,289,13,46,417,64,2734,451,59,69,584,13,24.72
E02002282,Kirklees 012,183,4,53,247,31,1424,287,54,25,408,15,17.62
E02002283,Kirklees 013,190,11,95,251,41,1236,270,50,25,396,27,24.35
E02002284,Kirklees 014,225,5,56,318,48,1871,261,40,40,295,13,21.5
E02002285,Kirklees 015,350,21,27,267,61,2592,304,45,59,324,15,27.88
E02002286,Kirklees 016,156,2,68,246,45,1247,232,40,43,367,14,14.8
E02002287,Kirklees 017,194,0,102,182,50,1075,136,44,32,313,11,23.79
E02002288,Kirklees 018,233,18,71,468,61,2044,373,69,60,433,12,25.81
E02002289,Kirklees 019,153,10,45,215,48,1129,210,47,50,329,16,25.74
E02002290,Kirklees 020,259,14,57,225,54,2100,232,25,51,211,19,14.84
E02002291,Kirklees 021,266,16,49,242,39,1961,222,38,47,284,13,20.56
E02002292,Kirklees 022,250,20,49,284,32,1781,196,25,12,134,12,22.92
E02002293,Kirklees 023,187,5,48,301,51,1002,181,42,66,416,10,19.14
E02002294,Kirklees 024,299,4,112,341,31,1625,283,57,41,440,22,12.94
E02002295,Kirklees 025,158,19,55,473,46,913,183,23,40,221,20,9.72
E02002296,Kirklees 026,269,6,142,192,39,1965,207,22,50,242,3,21.38
E02002297,Kirklees 027,316,7,84,221,25,1866,223,25,16,178,27,23.41
E02002298,Kirklees 028,257,7,66,343,51,1814,268,37,33,197,17,19.25
E02002299,Kirklees 029,199,21,57,401,44,789,158,45,47,381,25,23.67
E02002300,Kirklees 030,270,11,61,283,32,1848,209,17,19,233,14,19.69
E02002301,Kirklees 031,191,9,93,354,23,994,236,47,36,381,22,21.83
E02002302,Kirklees 032,275,3,47,277,54,1823,221,31,40,168,24,20.43
E02002303,Kirklees 033,234,19,70,325,62,1516,189,19,40,408,10,13.73
E02002304,Kirklees 034,226,17,113,327,40,1309,218,30,41,481,20,22.58
E02002305,Kirklees 035,181,18,49,465,41,1098,191,23,35,327,22,16.96
E02002306,Kirklees 036,274,4,63,274,54,2182,262,24,27,191,22,22.71
E02002307,Kirklees 037,201,12,51,426,71,1476,246,26,49,318,23,15.01
E02002308,Kirklees 038,201,10,57,376,47,1769,218,13,32,263,14,14.67
E02002309,Kirklees 039,177,9,100,286,29,1092,216,15,31,371,27,17.3
E02002310,Kirklees 040,169,16,46,447,34,1209,206,30,41,300,19,12.23
E02002311,Kirklees 041,242,8,57,367,50,1799,253,27,41,238,10,24.85
E02002312,Kirklees 042,161,13,103,334,37,1128,208,26,50,476,19,23.88
E02002313,Kirklees 043,152,27,66,360,33,906,177,49,38,363,20,20.72
E02002314,Kirklees 044,233,19,68,319,45,1526,200,27,31,192,11,18.8
E02002315,Kirklees 045,243,20,65,471,75,1725,265,30,56,268,13,18.28
E02002316,Kirklees 046,302,18,29,294,46,1944,206,36,17,139,20,29.29
E02002317,Kirklees 047,204,10,55,436,39,1341,182,39,31,314,22,18.74
E02002318,Kirklees 048,212,12,76,370,48,1416,206,17,37,332,7,18.66
E02002319,Kirklees 049,254,21,121,301,48,1821,261,21,48,313,25,15.25
E02002320,Kirklees 050,256,1,84,341,53,1733,217,19,47,189,21,20.99
E02002321,Kirklees 051,349,13,74,292,56,2020,235,24,35,219,16,32.68
E02002322,Kirklees 052,300,19,162,274,54,1744,195,22,45,250,10,19.65
E02002323,Kirklees 053,425,9,109,306,59,2464,264,9,47,264,22,18.12
E02002324,Kirklees 054,283,14,31,204,44,2031,198,19,30,232,16,24.14
E02002325,Kirklees 055,369,7,62,343,69,2471,239,10,47,361,20,15.92
E02002326,Kirklees 056,378,9,68,169,53,2206,186,32,40,144,12,38.07
E02002327,Kirklees 057,505,6,94,225,68,3121,293,15,43,329,23,22.62
E02002328,Kirklees 058,380,8,47,210,53,2207,176,12,41,220,14,16.18
E02002329,Kirklees 059,684,17,74,375,63,3808,362,13,30,422,33,20.14
E02002330,Leeds 001,388,8,30,163,37,2411,187,36,65,313,22,34.69
E02002331,Leeds 002,267,5,18,174,41,1372,155,26,72,495,22,32.26
E02002332,Leeds 003,242,16,50,237,60,1659,206,13,62,437,5,18.47
E02002333,Leeds 004,388,17,117,417,41,2360,251,37,74,606,20,25.77
E02002334,Leeds 005,457,5,44,215,41,2369,210,36,49,182,27,27
E02002335,Leeds 006,513,13,25,174,35,2427,185,26,24,125,31,32.52
E02002336,Leeds 007,410,11,38,183,36,2087,147,17,27,138,19,22.75
E02002337,Leeds 008,346,17,211,137,49,1894,164,29,37,271,20,16.44
E02002338,Leeds 009,263,11,264,194,57,1792,175,39,52,422,14,25.54
E02002339,Leeds 010,204,9,74,280,50,1620,235,42,56,425,24,29.06
E02002340,Leeds 011,253,18,56,278,43,1753,222,26,63,395,9,14.02
E02002341,Leeds 012,390,24,30,334,47,2505,208,35,39,112,13,17.23
E02002342,Leeds 013,245,12,121,368,50,1846,192,43,47,195,13,27.24
E02002343,Leeds 014,285,10,78,304,42,2117,232,45,42,278,15,24.15
E02002344,Leeds 015,374,6,25,451,28,2480,229,27,21,120,21,20.06
E02002345,Leeds 016,310,8,29,322,21,2014,175,30,24,119,29,23.89
E02002346,Leeds 017,213,3,152,417,37,1494,203,35,26,238,10,19.83
